number,name,x,y
1,企业,0.7426,-1.1309
2,创业,1.2642,-0.2474
3,品牌,0.9341,-1.0444
4,市场,1.0331,-0.0106
5,租赁,1.5587,-0.1784
6,融资,0.6922,-1.5713
7,郭俊峰,0.4568,-1.7257
8,中国,-0.3108,0.0382
9,住宅,1.0678,1.2566
10,别墅,0.7784,1.6639
11,发展,0.0950,0.5163
12,地段,1.1448,1.1460
13,家庭,1.3851,0.1991
14,建筑,0.7016,1.5383
15,房地产,0.8502,1.5547
16,文化,1.1317,0.3650
17,新加坡,1.4373,0.5225
18,引擎,0.5495,-1.3533
19,汽车,0.9510,-1.3193
20,系统,0.0043,0.1114
21,设计,0.1204,-0.1823
22,跑车,0.3668,-1.8040
23,车子,0.8459,-1.2520
24,驾驶,0.5964,-1.3106
25,人类,-1.5704,0.0248
26,卡西尼,-1.6143,-0.0522
27,土卫六,-1.6248,-0.0616
28,土星,-1.6284,-0.0684
29,地球,-1.5073,-0.2807
30,宇航局,-1.6270,-0.0776
31,彗星,-1.5798,0.0429
32,探测,-1.6182,-0.0344
33,探测器,-1.6397,-0.1283
34,撞击,-1.5310,0.2036
35,生命,-0.8992,-0.9617
36,登陆,-1.4729,0.3341
37,科学家,-1.1657,0.4208
38,美国,-1.0142,0.0756
39,公司,1.0110,-0.0487
40,夏尔,-0.0141,1.6005
41,工作,-0.0873,-0.1578
42,玛莎,0.0306,1.8110
43,管理,0.9081,0.4065
44,美元,-0.4389,0.3734
45,集团,0.6866,0.7960
