ID,盆地名称,盆地类型,圈闭类型,地层代码,构造单元-构造级别,构造单元-构造类型,构造单元-上级构造,油气藏类型,油气田类型,井别,井型
1201,塔里木盆地,5.8663,0.5042,12.9193,1.5048,10.9341,11.8815,6.0356,1.1754,2.2951,2.07
1202,四川盆地,3.4186,5.0907,0.5198,4.6539,0.3231,6.4629,2.674,5.6557,0.8442,0.984
1203,莺歌海盆地,7.1372,4.2741,8.4139,0.1351,13.272,2.7959,6.4651,2.6391,0.776,2.962
1204,松辽盆地,1.8775,6.0172,10.7545,5.9115,13.0833,10.2398,6.8922,3.0776,5.2892,4.2856
1205,鄂尔多斯盆地,6.6715,0.8056,14.4748,0.6888,3.7856,14.9975,1.7155,3.2193,5.3416,2.0279
12466,下刚果盆地,1.3164,5.5308,5.4923,0.7559,10.8899,13.5416,3.6814,1.8532,1.0618,0.5239
1417,南黄海盆地,3.1851,3.8543,6.0404,3.2519,13.3512,1.095,5.229,2.7161,3.4369,6.651
1420,楚雄盆地,1.0083,5.6775,10.8148,2.989,8.1257,10.1418,3.2787,5.4184,3.2143,0.3483
1421,苏北盆地,3.691,1.3631,0.8669,2.0759,14.5203,11.6426,2.7795,2.9513,3.9845,2.8804
1424,南襄盆地,7.2434,3.2079,6.3969,5.6084,2.24,1.3769,0.5855,2.7745,6.4807,1.9845
1425,江汉盆地,5.8799,3.0688,13.1915,0.3797,4.1206,2.2178,0.4293,3.5688,3.2725,4.7738
1426,百色盆地,0.4308,4.5706,7.7075,4.8757,12.5449,7.7367,3.2234,3.964,2.1009,3.2923
1428,准噶尔盆地,3.1681,5.3021,7.5132,1.6129,7.3571,7.8609,3.0291,6.7729,5.873,5.0099
1429,伦坡拉盆地,8.9224,1.1106,10.2504,5.2694,14.4038,3.6153,0.8064,5.2001,3.389,5.5059
1719,柴达木盆地,4.4755,5.6124,12.1134,1.8174,3.9544,14.1684,4.2652,1.0065,5.1951,6.369
1720,三江盆地,8.2844,0.4184,2.9227,3.5776,13.7486,2.8827,2.1463,0.7751,4.9894,5.1783
1725,彰武盆地,6.0737,5.2619,10.3846,6.5735,12.3312,9.2271,5.7338,6.3633,6.5748,3.7088
1727,三水盆地,5.6613,1.7986,6.9355,4.1037,9.1398,6.3145,0.4514,6.2436,1.3805,0.5523
2110,焉耆盆地,7.4705,3.6046,7.7011,3.9155,14.6195,1.1234,5.2916,1.0354,5.2271,2.3467
2111,渤海湾盆地,5.0114,6.2229,0.3631,0.5345,1.2005,0.6872,0.8761,1.6228,4.7193,0.9795
2405,酒西盆地,9.8036,3.9433,1.1319,3.3402,0.0094,10.5161,3.6013,1.3025,3.4394,0.6309
2535,珠江口盆地,8.5059,1.0298,7.2187,3.8907,0.0618,4.1443,2.4078,2.7785,5.9926,3.1811
2544,东海盆地,7.4089,6.5061,3.6459,2.3897,11.575,13.6948,6.7338,1.9227,0.0396,6.2507
2563,抚州盆地,3.1294,0.2662,1.4519,5.1954,8.3351,7.5069,6.543,1.7113,2.8482,5.0228
2565,琼东南盆地,1.9383,2.0723,13.2605,5.6742,7.846,8.3698,3.0732,5.213,5.4016,0.5217
2591,民和盆地,5.4113,1.6253,4.7622,2.4663,7.9673,3.1788,1.8104,4.074,5.1909,0.3791
2592,敦煌盆地,5.2573,0.3946,2.6032,3.2549,14.4464,14.9502,3.6943,2.8626,0.9994,6.1741
2658,南华北盆地,4.8082,5.9652,0.1362,5.8083,8.9801,12.4811,6.3769,1.3758,1.5877,6.776
2659,河套盆地,4.5967,6.7366,5.9484,6.6521,6.8375,6.9572,6.149,1.8524,1.3763,1.5481
2660,伊犁盆地,7.4435,6.5804,1.7886,4.5095,1.6296,11.8211,1.9405,4.5086,1.1349,4.8561
2911,北部湾盆地,3.1269,2.2638,11.9708,1.4746,0.6658,5.335,6.5239,1.6465,3.8347,6.5757
2913,洞庭盆地,1.919,2.1105,14.7794,4.2632,14.4751,10.1988,1.3357,6.5039,6.624,2.3449
2969,铁岭盆地,9.7822,2.8474,2.3098,4.5217,7.6957,2.7318,3.9175,1.0893,6.229,0.9324
2975,南阳凹陷,2.3131,4.3979,10.1049,3.6087,7.794,4.5378,3.7097,2.8494,6.0376,5.6868
74224,汶蒙盆地,9.122,0.2618,0.9307,2.0992,8.6034,4.2584,0.4466,4.6552,4.7753,2.2206
74226,延吉盆地,9.6579,0.792,3.4611,1.9654,0.1396,10.8601,6.977,2.1144,3.3287,5.032
74228,张北盆地,1.3894,5.5263,13.2733,3.7772,9.8937,13.5629,4.7347,4.9262,3.1373,6.7636
74231,汶泗盆地,5.1987,6.3213,14.0418,4.2505,7.7375,4.1854,0.3223,0.5858,2.6798,3.349
74296,黄口盆地,4.7863,5.9432,10.5727,5.0765,1.2909,12.0114,5.1283,0.3172,2.457,3.1091
74492,三塘湖盆地,7.5407,6.6775,4.6998,0.8366,0.0966,11.7658,4.9376,0.129,2.2485,5.9148
74590,台西盆地,3.3008,4.4897,6.1496,4.3349,7.4547,6.2534,4.3499,3.5585,4.6954,6.3995
74751,海拉尔盆地,6.7851,0.9192,1.6233,1.1271,13.301,9.9702,5.1789,2.3157,5.5075,0.2109
74761,合浦盆地,8.5912,6.7281,2.4351,5.9389,0.1071,11.7763,3.9881,6.0879,5.299,4.7586
74777,依兰伊通盆地,7.0504,6.0893,13.2434,5.3603,8.5715,9.278,3.4153,5.5838,0.772,3.5187
74787,银根盆地,5.8622,3.8954,7.0665,2.2063,14.4698,2.139,3.3072,4.4273,4.6188,4.3622
74788,治多盆地,0.7024,5.8397,10.5864,1.0498,1.2584,13.6692,2.841,3.9807,3.169,2.8182
74839,黑山盆地,3.2533,5.3931,13.4117,6.5974,0.8093,11.4413,2.6524,6.7693,2.9583,1.6619
74922,台西南盆地,6.0993,2.2333,9.8857,5.3895,0.2883,9.2844,5.4933,6.6131,4.8788,0.5083
74928,万安盆地,1.8886,2.0768,3.4733,0.6623,4.8738,14.0078,2.7112,3.2178,3.3897,6.1302
74982,柴窝堡盆地,8.4904,0.6302,0.2826,6.4511,12.5877,2.8537,1.5061,3.6947,3.1782,5.0748
