序号,国家名称,矿权区面积,国家面积,矿权区个数
1,拉脱维亚,12,216880,4
2,东帝汶,1507,15232,1
3,立陶宛,34050,200422,16
4,亚美尼亚,37137,50969,9
5,土库曼斯坦,52173,813877,14
6,孟加拉国,56365,156360,45
7,摩尔多瓦,57351,73439,6
8,阿塞拜疆,69801,148256,38
9,塔吉克斯坦,75587,232361,12
10,格鲁吉亚,78728,127181,22
11,吉尔吉斯斯坦,99333,355388,65
12,乌兹别克斯坦,106975,777395,23
13,意大利,122695,563088,333
14,乌克兰,130781,1398077,142
15,马来西亚,135159,329902,19
16,新西兰,135397,478908,70
17,智利,207292,1226019,36
18,土耳其,376981,1304414,491
19,加拿大,453676,49039100,769
20,波兰,543757,826848,558
21,哈萨克斯坦,738409,6098796,339
22,日本,753203,594563,41
23,印度尼西亚,1123226,1870906,565
24,俄罗斯,16189911,82507555,4038
