Number,Name,X,Y
1,AhlgrenP,-0.6217,0.4676
2,BailonMo,-1.0261,1.3089
3,BASSECOU,-0.2893,-0.2773
4,BORGMANC,-0.1164,-0.1894
5,BorlundP,-0.0412,-0.0954
6,BornerK,-0.2505,-0.2019
7,BoyackKW,-0.6446,0.7812
8,BRAAMRR,-0.9022,-3.5636
9,CaladoP,-0.5248,-0.1713
10,ChenCM,-1.0826,1.0527
11,CHEONMJ,-0.2895,-0.2859
12,Chinchil,5.0574,2.9745
13,Chowdhur,-0.2739,-0.2570
14,CordonO,-0.0108,1.1460
15,CoreraAl,5.4892,1.4378
16,Courtial,-0.6083,0.7960
17,CristoM,-0.4906,-0.1386
18,Dastidar,-0.2535,-0.2609
19,DeMoorB,-0.0842,-0.1741
20,deMouraE,-0.5900,0.7312
21,deMoyaAn,4.0681,1.8402
22,DerksenL,-0.4382,-0.0691
23,DingCHQ,-0.4313,-0.0967
24,DingY,-0.5861,0.7351
25,EggheL,-0.6074,0.7984
26,Espinosa,0.0759,-0.0342
27,Estabroo,-1.0333,1.0876
28,FabaPere,-0.2184,-0.2778
29,FooS,-0.8174,0.8902
30,Galliers,-0.0818,-0.1698
31,GartnerW,-0.0818,-0.1698
32,GAVRILOV,-0.0098,-0.0778
33,GlanzelW,-0.2062,-0.2075
34,Glenisso,-0.1667,-0.1919
35,Gonzalez,1.3146,0.0875
36,GREENLEE,-0.0099,-0.0778
37,GRIFFITH,-0.0099,-0.0778
38,GROVERV,-0.2505,-0.2573
39,Guerrero,0.7080,-0.4350
40,Guerre_1,-0.0307,0.5441
41,Heimerik,-0.0100,-0.0777
42,HerreroS,4.1909,-2.0616
43,HicksD,-0.0833,-0.1645
44,HislopGW,-0.0090,-0.0786
45,HsuPY,-0.0090,-0.0786
46,HuiSC,-0.0090,-0.0786
47,IbekweSa,-0.1678,-0.1864
48,Ingwerse,-0.0808,-0.1708
49,Janssens,-0.2051,-0.2089
50,Jarnevin,-0.5829,0.4943
51,JimenezC,0.0488,0.0767
52,JuradoAl,-0.5798,0.4896
53,Kajikawa,-0.4303,-0.0980
54,KERNR,-0.0093,-0.0782
55,KlavansR,-0.6057,0.8058
56,KOESTERD,-0.2490,-0.2587
57,KolarRG,-0.0094,-0.0781
58,KuljisJ,-0.4338,-0.0802
59,LarsenB,-0.0811,-0.1703
60,LavisJN,-0.5828,0.4809
61,LempelR,-0.2490,-0.2587
62,Leydesdo,-0.2077,-0.2013
63,LinGTR,-0.0095,-0.0779
64,LinX,-0.1680,-0.1860
65,MaZZ,-0.2489,-0.2588
66,MarionLS,-0.0812,-0.1701
67,Martinez,-0.3187,-0.2166
68,Matsushi,-0.0812,-0.1702
69,McCainK,-0.0836,-0.1639
70,McCainKW,-0.1658,-0.1927
71,MeyerM,-0.0813,-0.1702
72,MiguelS,-0.2266,-0.2657
73,MILMANBL,-0.0095,-0.0778
74,MOEDHF,-0.8157,-3.5659
75,MogeeME,-0.0110,-0.0893
76,MoranS,-0.2486,-0.2688
77,MorrisTA,-0.0110,-0.0893
78,MoyaAneg,-0.0840,1.0746
79,MunozFer,4.5390,-2.4198
80,NoyonsEC,-0.0775,-0.1851
81,OsarehF,-0.0068,-0.0935
82,Pasadeos,-0.2432,-0.2742
83,PaulRJ,-0.6011,0.7808
84,PerryCA,-0.2432,-0.2741
85,PerssonO,-0.2002,-0.2239
86,PhelpsJ,-0.2432,-0.2742
87,Pilkingt,-0.0776,-0.1850
88,PorterAL,-0.0776,-0.1850
89,Profetto,-0.4309,-0.0955
90,QuesadaB,-0.2433,-0.2720
91,QuirinA,-0.1244,0.9193
92,RafolsI,-0.1621,-0.2057
93,Ramachan,-0.2432,-0.2744
94,RiceRE,-0.4248,-0.1176
95,Rosenkop,-0.2432,-0.2746
96,Rousseau,-0.9536,1.1222
97,RuizBano,-0.5767,0.4814
